rank,name,team,opponent,game,pitcher,odds,book,final_hr_score,decision_tier,confidence,consensus_score,consensus_label,agreement_count,disagreement_count,model_score_avg,model_score_min,model_score_max,model_score_range,volatility,model_probability_est,market_implied_probability,market_edge_points,value_score,sharp_flag,nuke_flag,core_flag,value_flag,ladder_flag,stealth_flag,all_flags,master_score,matchup_score,split_score,per_pitch_score,primary_pitch_match,primary_pitch_usage_pct,signal_flags,note
112,Jackson Merrill,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,568,DraftKings,50.9,PASS,SPECULATIVE,24.2,NO CONSENSUS,1,2,58.1,46.6,71.9,25.3,MEDIUM,8.8,15,-6.2,29.4,NO,NO,NO,NO,NO,NO,VOLATILE,63.5,46.6,50.5,71.9,4-Seam Fastball,61.3,,Thin agreement
113,Danny Jansen,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,620,DraftKings,52,PASS,SPECULATIVE,24.1,NO CONSENSUS,0,2,59.8,54.5,65.9,11.4,LOW,8.9,13.9,-5,33,NO,NO,NO,NO,NO,NO,,65.9,54.5,57.7,61.2,Slider,13.4,,Thin agreement
114,Bryan Reynolds,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,800,BetMGM,49.9,PASS,SPECULATIVE,24,NO CONSENSUS,0,2,59.8,52.9,62.7,9.8,MEDIUM,8.7,11.1,-2.4,44.8,NO,NO,NO,NO,NO,NO,,61.8,52.9,61.9,62.7,4-Seam Fastball,28.2,,Thin agreement
115,Gavin Sheets,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,590,FanDuel,50.1,PASS,SPECULATIVE,23.9,NO CONSENSUS,1,2,57.3,46.1,70.7,24.6,MEDIUM,8.7,14.5,-5.8,30.6,NO,NO,NO,NO,NO,NO,,63,46.1,49.5,70.7,4-Seam Fastball,61.3,,Thin agreement
116,Vinnie Pasquantino,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,680,FanDuel,51.6,PASS,SPECULATIVE,23.8,NO CONSENSUS,0,2,60.2,54.2,66.5,12.3,MEDIUM,8.9,12.8,-3.9,40.3,NO,NO,NO,NO,NO,NO,,66.5,54.2,57.1,62.8,4-Seam Fastball,25.1,,Thin agreement
117,Joe Mack,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,900,BetMGM,48.2,PASS,SPECULATIVE,23.8,NO CONSENSUS,0,2,60.1,56.4,65.1,8.7,HIGH,8.4,10,-1.6,47.2,NO,NO,NO,NO,NO,NO,,58.7,56.4,65.1,60,4-Seam Fastball,37.7,,Thin agreement
118,Heliot Ramos,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,575,DraftKings,51.4,PASS,SPECULATIVE,23.6,NO CONSENSUS,1,2,58.9,46.8,75.2,28.4,HIGH,8.8,14.8,-6,30,NO,NO,NO,NO,NO,NO,VOLATILE,62.3,46.8,51.1,75.2,4-Seam Fastball,47,VALUE,Thin agreement
119,J.P. Crawford,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,1060,DraftKings,47.5,PASS,SPECULATIVE,23.3,NO CONSENSUS,0,2,60.2,56.2,66,9.8,HIGH,8.3,8.6,-0.3,51.1,NO,NO,NO,NO,NO,NO,,58.6,56.2,66,59.9,Cutter,21.8,,Thin agreement
120,Henry Davis,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,760,FanDuel,49,PASS,SPECULATIVE,23,NO CONSENSUS,0,2,57.9,51.7,61.1,9.4,MEDIUM,8.5,11.6,-3.1,42.7,NO,NO,NO,NO,NO,NO,,61.1,51.7,58.5,60.1,Sinker,16.7,,Thin agreement
121,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,840,DraftKings,48.8,PASS,SPECULATIVE,22.3,NO CONSENSUS,0,2,58.4,52,63.8,11.8,MEDIUM,8.5,10.6,-2.1,45.7,NO,NO,NO,NO,NO,NO,,63.8,52,56.7,60.9,Sinker,32.6,,Thin agreement
122,Ryan O'Hearn,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,770,DraftKings,48.7,PASS,SPECULATIVE,22.1,NO CONSENSUS,0,2,57.4,51.9,63,11.1,MEDIUM,8.5,11.5,-3,43,NO,NO,NO,NO,NO,NO,,63,51.9,56.8,58,Sinker,16.7,,Thin agreement
123,Mookie Betts,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,390,BetMGM,50.9,PASS,SPECULATIVE,21.8,NO CONSENSUS,0,2,56.3,51.1,64.1,13,LOW,8.8,20.4,-11.6,7.2,NO,NO,NO,NO,NO,NO,,64.1,51.3,51.1,58.7,Slider,23.6,,Thin agreement
124,Kyle Tucker,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,533,DraftKings,51.5,PASS,SPECULATIVE,21.6,NO CONSENSUS,0,2,58.4,50.7,67.2,16.5,LOW,8.9,15.8,-6.9,27.3,NO,NO,NO,NO,NO,NO,,63.6,50.7,52.2,67.2,4-Seam Fastball,52.4,,Thin agreement
125,Connor Wong,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,920,FanDuel,43.6,PASS,SPECULATIVE,21.5,NO CONSENSUS,0,2,59,54.3,63.8,9.5,HIGH,7.8,9.8,-2,46,NO,NO,NO,NO,NO,NO,,63.8,54.3,60.4,57.3,Sinker,13.4,,Thin agreement
126,Luis Torrens,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,Framber Valdez,930,DraftKings,42.2,PASS,SPECULATIVE,21.2,NO CONSENSUS,0,2,57.5,52.7,59.9,7.2,HIGH,7.7,9.7,-2,46,NO,NO,NO,NO,NO,NO,,58.6,52.7,59.9,58.6,Curveball,31.9,,Thin agreement
127,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,930,DraftKings,44.3,PASS,SPECULATIVE,21.1,NO CONSENSUS,0,2,60.2,53.5,66.4,12.9,HIGH,7.9,9.7,-1.8,46.6,NO,NO,NO,NO,NO,NO,,58.6,53.5,62.4,66.4,4-Seam Fastball,61,,Thin agreement
128,Brice Turang,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,680,FanDuel,51,PASS,SPECULATIVE,21,NO CONSENSUS,0,2,59.5,49.8,68.6,18.8,MEDIUM,8.8,12.8,-4,40,NO,NO,NO,NO,NO,NO,,63.2,49.8,56.2,68.6,4-Seam Fastball,22.9,,Thin agreement
129,Matt McLain,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,760,FanDuel,48.2,PASS,SPECULATIVE,21,NO CONSENSUS,0,2,56.6,50.2,63.1,12.9,MEDIUM,8.4,11.6,-3.2,42.4,NO,NO,NO,NO,NO,NO,,63.1,50.2,52.2,61,Sinker,28.4,,Thin agreement
130,Ivan Herrera,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,670,DraftKings,52.1,PASS,SPECULATIVE,20.9,NO CONSENSUS,0,2,60.4,49.8,71.3,21.5,MEDIUM,8.9,13,-4.1,39.7,NO,NO,NO,NO,NO,NO,,71.3,49.8,54.5,66,Sinker,31.7,,Thin agreement
131,Jake Bauers,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,800,BetMGM,50.3,PASS,SPECULATIVE,20.8,NO CONSENSUS,0,2,60.1,49.8,69.3,19.5,MEDIUM,8.7,11.1,-2.4,44.8,NO,NO,NO,NO,NO,NO,,63.6,49.8,57.6,69.3,4-Seam Fastball,22.9,,Thin agreement
132,Ke'Bryan Hayes,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,1020,DraftKings,43.2,PASS,SPECULATIVE,20.1,NO CONSENSUS,0,2,59.5,52.9,66.6,13.7,HIGH,7.8,8.9,-1.1,48.7,NO,NO,NO,NO,NO,NO,,58.4,52.9,60.1,66.6,Sinker,28.4,,Thin agreement
133,Junior Caminero,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,440,FanDuel,52.8,PASS,SPECULATIVE,20,NO CONSENSUS,1,3,59.1,51.3,71.7,20.4,MEDIUM,9,18.5,-9.5,13.5,NO,NO,NO,NO,NO,NO,,61.7,51.6,51.3,71.7,4-Seam Fastball,31.9,,Thin agreement
134,Darell Hernaiz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,1000,BetMGM,42.2,PASS,SPECULATIVE,19.8,NO CONSENSUS,0,2,57.4,51.5,62.7,11.2,HIGH,7.7,9.1,-1.4,47.8,NO,NO,NO,NO,NO,NO,,62.7,51.5,59.1,56.4,Slider,25.7,,Thin agreement
135,Brandon Marsh,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,Sonny Gray,1060,DraftKings,40.6,PASS,SPECULATIVE,18.5,NO CONSENSUS,0,2,56.4,47.7,59.9,12.2,HIGH,7.4,8.6,-1.2,48.4,NO,NO,NO,NO,NO,NO,,58.8,47.7,59.1,59.9,4-Seam Fastball,11.4,,Thin agreement
136,Royce Lewis,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,650,BetMGM,49.8,PASS,SPECULATIVE,16.9,NO CONSENSUS,1,3,57.4,46.3,70.5,24.2,MEDIUM,8.6,13.3,-4.7,37.9,NO,NO,NO,NO,NO,NO,,61.3,46.3,51.5,70.5,4-Seam Fastball,25.2,,Thin agreement
137,Yordan Alvarez,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,285,FanDuel,54.1,PASS,SPECULATIVE,15.6,NO CONSENSUS,0,3,59.6,54.1,71.8,17.7,LOW,9.2,26,-16.8,0,NO,NO,NO,NO,NO,NO,,71.8,54.1,56,56.4,,0,CONTACT,Thin agreement
138,Marcus Semien,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,Framber Valdez,790,DraftKings,48.7,PASS,SPECULATIVE,15.3,NO CONSENSUS,0,3,57.6,51.1,61.9,10.8,MEDIUM,8.5,11.2,-2.7,43.9,NO,NO,NO,NO,NO,NO,,60.8,51.1,56.7,61.9,Changeup,24.2,,Thin agreement
139,Zach Cole,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,420,FanDuel,52.2,PASS,SPECULATIVE,14.6,NO CONSENSUS,0,3,58.1,52.3,69.1,16.8,LOW,8.9,19.2,-10.3,11.1,NO,NO,NO,NO,NO,NO,,69.1,52.3,55.9,55.2,,0,CONTACT,Thin agreement
140,Bo Bichette,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,Framber Valdez,850,DraftKings,47.2,PASS,SPECULATIVE,14.6,NO CONSENSUS,0,3,56.6,50.8,60.9,10.1,MEDIUM,8.3,10.5,-2.2,45.4,NO,NO,NO,NO,NO,NO,,58.4,50.8,56.3,60.9,Curveball,31.9,,Thin agreement
141,Lourdes Gurriel Jr.,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,890,DraftKings,46.1,PASS,SPECULATIVE,14.5,NO CONSENSUS,0,3,55.9,50.7,59.1,8.4,MEDIUM,8.2,10.1,-1.9,46.3,NO,NO,NO,NO,NO,NO,,59.1,50.7,54.8,58.8,Cutter,12.1,,Thin agreement
142,Lane Thomas,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,680,FanDuel,48.1,PASS,SPECULATIVE,14.3,NO CONSENSUS,0,3,55.9,49.8,61,11.2,MEDIUM,8.4,12.8,-4.4,38.8,NO,NO,NO,NO,NO,NO,,60.5,49.8,52.3,61,4-Seam Fastball,25.1,,Thin agreement
143,James McCann,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,950,DraftKings,42.1,PASS,SPECULATIVE,13.7,NO CONSENSUS,0,3,57.3,51.8,60.3,8.5,HIGH,7.6,9.5,-1.9,46.3,NO,NO,NO,NO,NO,NO,,59.3,51.8,57.9,60.3,Sinker,32.6,,Thin agreement
144,Nasim Nuñez,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,1200,BetMGM,41.6,PASS,SPECULATIVE,13.3,NO CONSENSUS,0,3,57.8,53.1,62.9,9.8,HIGH,7.6,7.7,-0.1,51.7,NO,NO,NO,NO,NO,NO,,60.3,53.1,62.9,55,Curveball,20.5,,Thin agreement
145,Nick Yorke,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,920,FanDuel,41.5,PASS,SPECULATIVE,12.6,NO CONSENSUS,0,3,56.6,50.6,60.7,10.1,HIGH,7.6,9.8,-2.2,45.4,NO,NO,NO,NO,NO,NO,,59.4,50.6,60.7,55.7,4-Seam Fastball,28.2,,Thin agreement
146,Pedro Pagés,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,760,FanDuel,46.7,PASS,SPECULATIVE,12.2,NO CONSENSUS,0,3,54.8,46.6,61.2,14.6,MEDIUM,8.2,11.6,-3.4,41.8,NO,NO,NO,NO,NO,NO,,61,46.6,50.5,61.2,Sinker,31.7,,Thin agreement
147,TJ Friedl,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,880,FanDuel,45.4,PASS,SPECULATIVE,11.8,NO CONSENSUS,0,3,54.9,46.5,61,14.5,MEDIUM,8.1,10.2,-2.1,45.7,NO,NO,NO,NO,NO,NO,,60.4,46.5,51.6,61,Sinker,28.4,,Thin agreement
148,Colt Keith,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,680,DraftKings,46.1,PASS,SPECULATIVE,11.7,NO CONSENSUS,0,3,53.4,46.2,60,13.8,MEDIUM,8.2,12.8,-4.6,38.2,NO,NO,NO,NO,NO,NO,,57.6,46.2,49.9,60,4-Seam Fastball,55.3,,Thin agreement
149,Nick Loftin,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,940,DraftKings,42.3,PASS,SPECULATIVE,11.6,NO CONSENSUS,0,3,57.4,48.4,63.1,14.7,HIGH,7.7,9.6,-1.9,46.3,NO,NO,NO,NO,NO,NO,,61.6,48.4,56.4,63.1,Sweeper,26.3,,Thin agreement
150,Jacob Young,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,1600,FanDuel,39.9,PASS,SPECULATIVE,11.4,NO CONSENSUS,0,3,56.4,50.8,62.4,11.6,HIGH,7.4,5.9,1.5,56.5,NO,NO,NO,NO,NO,NO,,54.5,50.8,62.4,57.7,4-Seam Fastball,23.1,,Thin agreement
151,Christian Walker,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,350,FanDuel,49,PASS,SPECULATIVE,11.1,NO CONSENSUS,0,3,53.7,47.6,66.4,18.8,MEDIUM,8.5,22.2,-13.7,0.9,NO,NO,NO,NO,NO,NO,,66.4,49.4,47.6,51.5,,0,,Thin agreement
152,Wenceel Pérez,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,800,BetMGM,45.2,PASS,SPECULATIVE,11.1,NO CONSENSUS,0,3,53.8,46.5,61.5,15,MEDIUM,8,11.1,-3.1,42.7,NO,NO,NO,NO,NO,NO,,57.6,46.5,49.6,61.5,Sweeper,15.6,,Thin agreement
153,Jonathan Aranda,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,720,DraftKings,47,PASS,SPECULATIVE,10.8,NO CONSENSUS,0,3,54.7,45.4,64,18.6,MEDIUM,8.3,12.2,-3.9,40.3,NO,NO,NO,NO,NO,NO,,59.9,45.4,49.5,64,4-Seam Fastball,31.9,,Thin agreement
154,Nathan Church,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,1000,BetMGM,42.5,PASS,SPECULATIVE,10.7,NO CONSENSUS,0,3,57.9,47.7,65.8,18.1,HIGH,7.7,9.1,-1.4,47.8,NO,NO,NO,NO,NO,NO,,60.5,47.7,57.6,65.8,Sinker,31.7,,Thin agreement
155,Jorge Mateo,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,960,DraftKings,40.1,PASS,SPECULATIVE,10.7,NO CONSENSUS,1,3,54.8,41.5,70.7,29.2,HIGH,7.4,9.4,-2,46,NO,NO,NO,NO,NO,NO,VOLATILE,56.1,41.5,50.9,70.7,4-Seam Fastball,34.6,,Thin agreement
156,Cesar Prieto,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,920,FanDuel,41,PASS,SPECULATIVE,10.6,NO CONSENSUS,0,3,55.8,47.5,61.8,14.3,HIGH,7.5,9.8,-2.3,45.1,NO,NO,NO,NO,NO,NO,,61.8,47.5,55.2,58.5,Sinker,31.7,,Thin agreement
157,Nick Gonzales,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,1080,DraftKings,39.2,PASS,SPECULATIVE,10.6,NO CONSENSUS,0,3,54.8,47.9,59.3,11.4,HIGH,7.3,8.5,-1.2,48.4,NO,NO,NO,NO,NO,NO,,54.4,47.9,57.5,59.3,4-Seam Fastball,28.2,,Thin agreement
158,Garrett Mitchell,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,1000,BetMGM,42.1,PASS,SPECULATIVE,10.4,NO CONSENSUS,0,3,57.5,48.2,66.2,18,HIGH,7.6,9.1,-1.5,47.5,NO,NO,NO,NO,NO,NO,,58.2,48.2,57.2,66.2,Sinker,20.8,,Thin agreement
159,Matt Vierling,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,760,DraftKings,43.7,PASS,SPECULATIVE,9.8,NO CONSENSUS,0,3,51.2,44,58.2,14.2,MEDIUM,7.9,11.6,-3.7,40.9,NO,NO,NO,NO,NO,NO,,56.4,44,46.1,58.2,4-Seam Fastball,55.3,,Thin agreement
160,Edouard Julien,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,830,DraftKings,44.7,PASS,SPECULATIVE,9.6,NO CONSENSUS,0,3,53.4,43.6,61.7,18.1,MEDIUM,8,10.8,-2.8,43.6,NO,NO,NO,NO,NO,NO,,56.6,43.6,51.5,61.7,Slider,9.6,,Thin agreement
161,Alejandro Osuna,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,1220,DraftKings,38.1,PASS,SPECULATIVE,9.5,NO CONSENSUS,0,3,53.7,48.4,60.6,12.2,HIGH,7.1,7.6,-0.5,50.5,NO,NO,NO,NO,NO,NO,,55.6,50,60.6,48.4,Curveball,5.1,,Thin agreement
162,Manny Machado,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,556,DraftKings,46.8,PASS,SPECULATIVE,9.4,NO CONSENSUS,0,3,53.1,44,64.6,20.6,MEDIUM,8.3,15.2,-6.9,27.3,NO,NO,NO,NO,NO,NO,,59.5,44,44.2,64.6,4-Seam Fastball,61.3,,Thin agreement
163,Josh Bell,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,700,BetMGM,46.7,PASS,SPECULATIVE,9.4,NO CONSENSUS,0,3,54.3,42.9,64.8,21.9,MEDIUM,8.2,12.5,-4.3,39.1,NO,NO,NO,NO,NO,NO,,59.2,42.9,50.1,64.8,Slider,26.4,,Thin agreement
164,Rafael Devers,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,525,DraftKings,48.3,PASS,SPECULATIVE,9,NO CONSENSUS,0,3,54.4,43.3,68,24.7,MEDIUM,8.4,16,-7.6,25.2,NO,NO,NO,NO,NO,NO,,60.3,43.3,46,68,4-Seam Fastball,47,,Thin agreement
165,Bryson Stott,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,Sonny Gray,1160,DraftKings,38.2,PASS,SPECULATIVE,9,NO CONSENSUS,0,3,53.7,46.2,60.1,13.9,HIGH,7.1,7.9,-0.8,49.6,NO,NO,NO,NO,NO,NO,,53,46.2,55.5,60.1,Cutter,30,,Thin agreement
166,Sung-Mun Song,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,1000,BetMGM,40.9,PASS,SPECULATIVE,8.7,NO CONSENSUS,0,3,55.9,45.8,65.7,19.9,HIGH,7.5,9.1,-1.6,47.2,NO,NO,NO,NO,NO,NO,,58,45.8,54.1,65.7,4-Seam Fastball,61.3,,Thin agreement
167,William Contreras,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,900,DraftKings,38.6,PASS,SPECULATIVE,8.2,NO CONSENSUS,0,3,52.7,44.1,59.6,15.5,HIGH,7.2,10,-2.8,43.6,NO,NO,NO,NO,NO,NO,,58.2,44.1,48.8,59.6,4-Seam Fastball,22.9,,Thin agreement
168,Yandy Díaz,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,770,DraftKings,43.4,PASS,SPECULATIVE,7.9,NO CONSENSUS,0,3,50.9,42.6,61.7,19.1,MEDIUM,7.8,11.5,-3.7,40.9,NO,NO,NO,NO,NO,NO,,54.9,42.6,44.4,61.7,4-Seam Fastball,31.9,,Thin agreement
