rank,name,team,opponent,game,lineup_spot,pitcher,pitcher_hand,odds,book,final_hr_score,decision_tier,confidence,agreement_count,signal_flags,master_score,master_tier,matchup_score,matchup_grade,split_score,split_grade,per_pitch_score,per_pitch_grade,contact_score,environment_score,recent_score,market_score,value_score,barrel_rate,hard_hit_rate,primary_pitch_match,primary_pitch_usage_pct,best_hitter_pitch,weakest_pitcher_pitch,pitcher_vulnerability_score,handedness_split_score,note
169,Cesar Prieto,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,,J.T. Ginn,,920,FanDuel,41,PASS,SPECULATIVE,0,,61.8,STANDARD,47.5,THIN,55.2,NEUTRAL,58.5,NEUTRAL,50,52.3,50,41.5,46,0,0,Sinker,31.7,Sinker,Sinker,49.5,62,Thin profile
170,Sung-Mun Song,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,Jacob Misiorowski,,1000,BetMGM,40.9,PASS,SPECULATIVE,0,,58,STANDARD,45.8,THIN,54.1,THIN,65.7,NEUTRAL,73,51.8,50,39.7,46,25,37.5,4-Seam Fastball,61.3,Cutter,4-Seam Fastball,10.4,62,Thin profile
171,Brandon Marsh,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,Sonny Gray,,1060,DraftKings,40.6,PASS,SPECULATIVE,0,,58.8,STANDARD,47.7,THIN,59.1,NEUTRAL,59.9,NEUTRAL,52.3,51.1,50,38.6,38,6.3,48.2,4-Seam Fastball,11.4,4-Seam Fastball,Cutter,52.5,62,Thin profile
172,Jorge Mateo,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,Shota Imanaga,,960,DraftKings,40.1,PASS,SPECULATIVE,1,,56.1,STANDARD,41.5,AVOID,50.9,THIN,70.7,PLUS,59.1,50.1,50,40.6,46,11.1,41.7,4-Seam Fastball,34.6,4-Seam Fastball,4-Seam Fastball,15.3,62,Thin profile
173,Jose Altuve,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,,Bryce Miller,,537,DraftKings,40.1,PASS,SPECULATIVE,0,,54.6,WATCH,40.4,AVOID,37.8,AVOID,44.5,AVOID,43.9,52.7,50,67.2,64,6.7,36.4,,0,,,34.4,50,Thin profile
174,Jacob Young,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,,Nick Lodolo,,1600,FanDuel,39.9,PASS,SPECULATIVE,0,,54.5,LOTTO,50.8,THIN,62.4,NEUTRAL,57.7,THIN,34.1,57.5,50,32,38,4.5,31,4-Seam Fastball,23.1,4-Seam Fastball,Sinker,99,62,Thin profile
175,Billy Cook,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,900,DraftKings,39.5,PASS,SPECULATIVE,0,,59.2,STANDARD,48.2,THIN,56.2,NEUTRAL,52.1,THIN,40,49.3,50,42,46,0,15.4,4-Seam Fastball,28.2,4-Seam Fastball,Slurve,73.5,62,Thin profile
176,Nick Gonzales,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,1080,DraftKings,39.2,PASS,SPECULATIVE,0,,54.4,LOTTO,47.9,THIN,57.5,NEUTRAL,59.3,NEUTRAL,41.3,49.3,50,38.2,38,1.8,41.6,4-Seam Fastball,28.2,4-Seam Fastball,Slurve,73.5,62,Thin profile
177,Christian Yelich,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,790,FanDuel,39.1,PASS,SPECULATIVE,0,,54.8,LOTTO,43.9,AVOID,38.7,AVOID,44.2,AVOID,43.6,54.1,50,51.1,54,5.1,41,,0,,,29.8,62,Thin profile
178,Mauricio Dubón,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,Shota Imanaga,,890,DraftKings,38.8,PASS,SPECULATIVE,0,,51.4,LOTTO,35.5,AVOID,41.2,AVOID,59.1,NEUTRAL,35,50.1,50,42.3,46,5,30.6,4-Seam Fastball,34.6,Sinker,4-Seam Fastball,15.3,62,Thin profile
179,Brooks Lee,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,,Max Meyer,,880,FanDuel,38.8,PASS,SPECULATIVE,0,,51.3,LOTTO,35.3,AVOID,41.2,AVOID,59.5,NEUTRAL,33.7,49.2,50,42.5,46,4.5,30.6,4-Seam Fastball,25.2,4-Seam Fastball,Sweeper,18.9,58,Thin profile
180,Nico Hoerner,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,JR Ritchie,,1280,DraftKings,38.7,PASS,SPECULATIVE,0,,54.9,LOTTO,49.2,THIN,57.1,NEUTRAL,56.6,THIN,30,50.3,50,35.1,38,2,26.1,Curveball,25.7,Curveball,Changeup,92.5,50,Thin profile
181,William Contreras,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,900,DraftKings,38.6,PASS,SPECULATIVE,0,,58.2,STANDARD,44.1,AVOID,48.8,THIN,59.6,NEUTRAL,49.9,54.1,50,42,46,7,43,4-Seam Fastball,22.9,4-Seam Fastball,Sweeper,29.8,50,Thin profile
182,César Salazar,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,,Bryce Miller,,750,Caesars,38.6,PASS,SPECULATIVE,0,,55,STANDARD,38.2,AVOID,40.3,AVOID,43.7,AVOID,44.6,52.7,50,52.4,60,0,33.3,,0,,,34.4,62,Thin profile
183,Matt Chapman,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,Shohei Ohtani,,790,FanDuel,38.5,PASS,SPECULATIVE,0,,51.4,LOTTO,35.6,AVOID,35.8,AVOID,56.6,THIN,36.1,51,50,51.1,54,5.4,30.7,4-Seam Fastball,47,Slider,4-Seam Fastball,5.8,50,Thin profile
184,Tyrone Taylor,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,,Framber Valdez,,980,FanDuel,38.4,PASS,SPECULATIVE,0,,55.5,STANDARD,46.5,THIN,51.6,THIN,57.6,THIN,33.9,50.3,50,40.1,46,4.9,29.5,Sinker,39.9,Cutter,Sinker,62.9,62,Thin profile
185,Brett Baty,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,,Framber Valdez,,1040,FanDuel,38.4,PASS,SPECULATIVE,0,,54.4,LOTTO,49.7,THIN,53.4,THIN,56.8,THIN,46.9,50.3,50,38.9,38,7.2,38.6,Changeup,24.2,4-Seam Fastball,Sinker,62.9,43,Thin profile
186,Bryson Stott,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,Sonny Gray,,1160,DraftKings,38.2,PASS,SPECULATIVE,0,,53,LOTTO,46.2,THIN,55.5,NEUTRAL,60.1,NEUTRAL,47.6,51.1,50,36.8,38,6.8,40.8,Cutter,30,4-Seam Fastball,Cutter,52.5,62,Thin profile
187,Alejandro Osuna,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,1220,DraftKings,38.1,PASS,SPECULATIVE,0,,55.6,STANDARD,50,THIN,60.6,NEUTRAL,48.4,THIN,40,51.4,50,35.9,38,0,26.9,Curveball,5.1,Curveball,4-Seam Fastball,77.5,62,Thin profile
188,Geraldo Perdomo,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,Kumar Rocker,,1100,DraftKings,38.1,PASS,SPECULATIVE,0,,54.8,LOTTO,48.4,THIN,53.9,THIN,56.2,THIN,33.5,51.2,50,37.8,38,3.6,31.9,Sinker,32.6,4-Seam Fastball,Changeup,72.5,58,Thin profile
189,Willi Castro,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,900,BetMGM,38.1,PASS,SPECULATIVE,0,,53.8,LOTTO,40,AVOID,49,THIN,66.3,NEUTRAL,49.7,47.5,50,42,46,6.9,43.1,4-Seam Fastball,39.7,4-Seam Fastball,4-Seam Fastball,22.3,58,Thin profile
190,Andrés Giménez,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,Griffin Jax,,1120,DraftKings,38,PASS,SPECULATIVE,0,,54.6,LOTTO,47.9,THIN,55.1,NEUTRAL,55.6,THIN,30.5,53.8,50,37.5,38,4.2,26.3,4-Seam Fastball,30.4,Slider,4-Seam Fastball,76.7,62,Thin profile
191,Isaac Paredes,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,,Bryce Miller,,541,DraftKings,37.4,PASS,SPECULATIVE,0,,53.3,WATCH,36.7,AVOID,32.2,AVOID,41.6,AVOID,30,52.7,50,67,64,3.6,26.1,,0,,,34.4,50,Thin profile
192,Ernie Clement,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,Griffin Jax,,1200,DraftKings,37.2,PASS,SPECULATIVE,0,,54.2,LOTTO,47.6,THIN,52.9,THIN,55.1,THIN,30,53.8,50,36.2,38,1.3,26.6,4-Seam Fastball,30.4,Changeup,4-Seam Fastball,76.7,50,Thin profile
193,J.T. Realmuto,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,Sonny Gray,,980,FanDuel,37.2,PASS,SPECULATIVE,0,,53.9,LOTTO,44.8,AVOID,49.4,THIN,57,THIN,40.2,51.1,50,40.1,46,2.8,40.3,Cutter,30,Splitter,Cutter,52.5,50,Thin profile
194,Jared Triolo,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,Jose Quintana,,1200,BetMGM,37.1,PASS,SPECULATIVE,0,,51.2,LOTTO,46.1,THIN,55.1,NEUTRAL,57.3,THIN,35.6,49.3,50,36.2,38,3.6,34.5,4-Seam Fastball,28.2,4-Seam Fastball,Slurve,73.5,62,Thin profile
195,Harrison Bader,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,Shohei Ohtani,,900,BetMGM,37,PASS,SPECULATIVE,0,,54.5,LOTTO,38.1,AVOID,45.1,THIN,65.2,NEUTRAL,51.4,51,50,42,46,7.3,43.9,4-Seam Fastball,47,4-Seam Fastball,4-Seam Fastball,5.8,50,Thin profile
196,Andrew Vaughn,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,900,BetMGM,36.9,PASS,SPECULATIVE,0,,55.6,STANDARD,42.6,AVOID,46.6,THIN,57.5,THIN,44.3,54.1,50,42,46,7.1,35.7,4-Seam Fastball,22.9,4-Seam Fastball,Sweeper,29.8,50,Thin profile
197,Tyler Heineman,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,Griffin Jax,,1280,DraftKings,36.9,PASS,SPECULATIVE,0,,51.6,LOTTO,50,THIN,55,NEUTRAL,52.8,THIN,40,53.8,50,35.1,38,0,15.2,4-Seam Fastball,30.4,Sweeper,4-Seam Fastball,76.7,58,Thin profile
198,Vidal Bruján,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,,Framber Valdez,,1050,BetMGM,36.8,PASS,SPECULATIVE,0,,55.3,STANDARD,50.5,THIN,54.8,THIN,45.7,AVOID,50,50.3,50,38.7,38,0,0,,0,4-Seam Fastball,Sinker,62.9,58,Thin profile
199,Troy Johnston,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,900,BetMGM,36.4,PASS,SPECULATIVE,0,,52.6,LOTTO,37.9,AVOID,45.9,THIN,63.9,NEUTRAL,41.5,47.5,50,42,46,2.2,41.9,4-Seam Fastball,39.7,4-Seam Fastball,4-Seam Fastball,22.3,62,Thin profile
200,Cam Smith,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,,Bryce Miller,,910,DraftKings,36.3,PASS,SPECULATIVE,0,,59.8,STANDARD,43.1,AVOID,48.1,THIN,47.6,AVOID,69.9,52.7,50,41.8,46,14.6,44.3,,0,,,34.4,50,Thin profile
201,Edmundo Sosa,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,Sonny Gray,,1020,DraftKings,35.8,PASS,SPECULATIVE,0,,52.8,LOTTO,44.5,AVOID,49.5,THIN,54.7,THIN,39.4,51.1,50,39.3,38,3.9,39.2,4-Seam Fastball,11.4,4-Seam Fastball,Cutter,52.5,50,Thin profile
202,Alec Bohm,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,Sonny Gray,,1120,DraftKings,35.5,PASS,SPECULATIVE,0,,49.6,LOTTO,44,AVOID,48.2,THIN,59.1,NEUTRAL,38.8,51.1,50,37.5,38,1.7,38.5,Cutter,30,Cutter,Cutter,52.5,50,Thin profile
203,Jake Fraley,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,940,DraftKings,34.8,PASS,SPECULATIVE,0,,53.8,LOTTO,39.7,AVOID,42.6,AVOID,56.2,THIN,43.5,54.4,50,41,46,9.4,22.6,Changeup,13.5,Changeup,Sinker,11.8,62,Thin profile
204,Ezequiel Tovar,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,980,FanDuel,33.6,PASS,SPECULATIVE,0,,50.7,LOTTO,38.6,AVOID,42.2,AVOID,55.8,THIN,45.5,47.5,50,40.1,46,8.2,33.7,Sinker,12.4,Sinker,4-Seam Fastball,22.3,50,Thin profile
205,Chase Meidroth,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,,Seth Lugo,,1200,BetMGM,33.6,PASS,SPECULATIVE,0,,48.1,LOTTO,42.5,AVOID,45.3,THIN,55.9,THIN,39.4,53.3,50,36.2,38,4.7,37,4-Seam Fastball,15.6,4-Seam Fastball,Cutter,35,50,Thin profile
206,Jake McCarthy,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,1200,FanDuel,32.9,PASS,SPECULATIVE,0,,46.7,WATCH,35.4,AVOID,44.4,AVOID,62,NEUTRAL,35.5,47.5,50,36.2,38,6.2,22.7,4-Seam Fastball,39.7,4-Seam Fastball,4-Seam Fastball,22.3,62,Thin profile
207,Nick Fortes,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,1100,DraftKings,32.6,PASS,SPECULATIVE,0,,47.9,WATCH,39.8,AVOID,41.8,AVOID,56.8,THIN,45.7,54.4,50,37.8,38,1.1,47.1,4-Seam Fastball,31.9,Splitter,Sinker,11.8,50,Thin profile
208,Kyle Karros,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,1240,DraftKings,32.4,PASS,SPECULATIVE,0,,44.7,DEEP FADE,37.7,AVOID,42.7,AVOID,61.4,NEUTRAL,44.7,47.5,50,35.7,38,6.2,39,4-Seam Fastball,39.7,4-Seam Fastball,4-Seam Fastball,22.3,50,Thin profile
209,Freddy Fermin,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,Jacob Misiorowski,,1050,BetMGM,32.1,PASS,SPECULATIVE,0,,51.1,LOTTO,37.7,AVOID,39.4,AVOID,54,THIN,42.7,51.8,50,38.7,38,0,30.9,4-Seam Fastball,61.3,Sweeper,4-Seam Fastball,10.4,50,Thin profile
210,Luis Rengifo,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,1500,BetMGM,32.1,PASS,SPECULATIVE,0,,42.8,DEEP FADE,40.4,AVOID,47.3,THIN,56.5,THIN,41.8,54.1,50,32.6,38,6.1,35.7,Sinker,20.8,Curveball,Sweeper,29.8,58,Thin profile
211,Cedric Mullins,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,980,FanDuel,31.9,PASS,SPECULATIVE,0,,49.3,LOTTO,36.1,AVOID,38.2,AVOID,55.2,THIN,30,54.4,50,40.1,46,2,27,Changeup,13.5,Changeup,Sinker,11.8,62,Thin profile
212,Masyn Winn,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,,J.T. Ginn,,1450,BetMGM,31.9,PASS,SPECULATIVE,0,,47.3,WATCH,41,AVOID,45.2,THIN,51.5,THIN,30,52.3,50,33.1,38,2.8,25.9,4-Seam Fastball,14.3,Slider,Sinker,49.5,50,Thin profile
213,Jung Hoo Lee,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,Shohei Ohtani,,1080,DraftKings,31.6,PASS,SPECULATIVE,0,,48.3,LOTTO,32.9,AVOID,37.9,AVOID,61.3,NEUTRAL,33.5,51,50,38.2,38,2.2,31.9,4-Seam Fastball,47,4-Seam Fastball,4-Seam Fastball,5.8,62,Thin profile
214,Jonny DeLuca,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,990,DraftKings,31.5,PASS,SPECULATIVE,0,,50.6,LOTTO,37,AVOID,37.4,AVOID,51.3,THIN,33.6,54.4,50,39.9,46,4,32,Sinker,9.7,Sinker,Sinker,11.8,50,Thin profile
215,Jesus Rodriguez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,Shohei Ohtani,,1220,DraftKings,30.9,PASS,SPECULATIVE,0,,46,WATCH,36.5,AVOID,40.3,AVOID,55.9,THIN,49.1,51,50,35.9,38,0,38.9,4-Seam Fastball,47,Slider,4-Seam Fastball,5.8,50,Thin profile
216,Taylor Walls,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,1300,FanDuel,30.9,PASS,SPECULATIVE,0,,44.6,DEEP FADE,37.8,AVOID,41.1,AVOID,56,THIN,40,54.4,50,34.9,38,0,14.7,4-Seam Fastball,31.9,4-Seam Fastball,Sinker,11.8,58,Thin profile
217,Victor Scott II,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,,J.T. Ginn,,2200,BetMGM,30.8,PASS,SPECULATIVE,0,,40.5,DEEP FADE,40.8,AVOID,47.1,THIN,53.2,THIN,30,52.3,50,32,38,1.4,26.7,Cutter,17.4,Curveball,Sinker,49.5,62,Thin profile
218,Ryan Vilade,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,1060,DraftKings,30.6,PASS,SPECULATIVE,0,,49.3,LOTTO,37.5,AVOID,38.7,AVOID,49.8,THIN,36.6,54.4,50,38.6,38,4.3,34.8,Sinker,9.7,Sinker,Sinker,11.8,50,Thin profile
219,Tyler Freeman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,Mitch Keller,,1560,DraftKings,30.3,PASS,SPECULATIVE,0,,39.5,DEEP FADE,36.7,AVOID,43.7,AVOID,58.7,NEUTRAL,43.2,47.5,50,32.1,38,0,31.5,4-Seam Fastball,39.7,Slider,4-Seam Fastball,22.3,50,Thin profile
220,Ben Williamson,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,1300,Caesars,30.2,PASS,SPECULATIVE,0,,42.6,DEEP FADE,37.5,AVOID,40,AVOID,56,THIN,38.9,54.4,50,34.9,38,1.1,38.6,4-Seam Fastball,31.9,Splitter,Sinker,11.8,50,Thin profile
221,David Hamilton,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,1600,BetMGM,29.8,PASS,SPECULATIVE,0,,41.8,DEEP FADE,37.3,AVOID,42.4,AVOID,54,THIN,30,54.1,50,32,38,2.6,25,4-Seam Fastball,22.9,4-Seam Fastball,Sweeper,29.8,62,Thin profile
222,Zach McKinstry,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,,Christian Scott,,1260,FanDuel,29.3,PASS,SPECULATIVE,0,,44.3,DEEP FADE,38.5,AVOID,40.1,AVOID,48.3,THIN,30,48.4,50,35.4,38,2.2,24.4,4-Seam Fastball,55.3,Curveball,Sweeper,34.7,62,Thin profile
223,Luis Arraez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,Shohei Ohtani,,1500,DraftKings,29.1,PASS,SPECULATIVE,0,,42.2,DEEP FADE,33.6,AVOID,39.9,AVOID,56,THIN,40,51,50,32.6,38,0,19,4-Seam Fastball,47,Curveball,4-Seam Fastball,5.8,62,Thin profile
224,Austin Martin,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,,Max Meyer,,1800,BetMGM,28.9,PASS,SPECULATIVE,0,,37.9,DEEP FADE,34.2,AVOID,40.3,AVOID,59.4,NEUTRAL,36,49.2,50,32,38,2.5,35,Sweeper,29.9,Sweeper,Sweeper,18.9,50,Thin profile
225,Luke Keaschall,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,,Max Meyer,,1360,DraftKings,28.7,PASS,SPECULATIVE,0,,42.1,DEEP FADE,33,AVOID,37.9,AVOID,55.8,THIN,30,49.2,50,34.1,38,3.2,24,Slider,26.4,Slider,Sweeper,18.9,50,Thin profile
226,Sal Frelick,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,Michael King,,2000,Caesars,28.6,PASS,SPECULATIVE,0,,38,DEEP FADE,37.3,AVOID,42.3,AVOID,52.7,THIN,30,54.1,50,32,38,3.7,25,Sweeper,22.5,Cutter,Sweeper,29.8,62,Thin profile
227,Chandler Simpson,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,,Dylan Cease,,2200,DraftKings,26.7,PASS,SPECULATIVE,0,,33.8,DEEP FADE,37.4,AVOID,42.2,AVOID,48.4,THIN,40,54.4,50,32,38,0,15.3,Sinker,9.7,Slider,Sinker,11.8,62,Thin profile