group_by,group,bets,graded,wins,losses,pending,hit_rate,profit_1u,roi,avg_model_probability,avg_ev
simulation_stack_grade,SIM_ELITE_2MAN,12,0,0,0,12,,0.0000,,,
simulation_stack_grade,SIM_STRONG_2MAN,40,0,0,0,40,,0.0000,,,
simulation_stack_grade,SIM_PLAYABLE_2MAN,262,0,0,0,262,,0.0000,,,
simulation_stack_grade,SIM_ELITE_3MAN,4,0,0,0,4,,0.0000,,,
simulation_stack_grade,SIM_STRONG_3MAN,48,0,0,0,48,,0.0000,,,
simulation_stack_grade,SIM_LEAN_2MAN,300,0,0,0,300,,0.0000,,,
simulation_stack_grade,SIM_PLAYABLE_3MAN,396,0,0,0,396,,0.0000,,,
simulation_stack_grade,SIM_ELITE_4MAN_LOTTO,1,0,0,0,1,,0.0000,,,
simulation_stack_grade,SIM_LEAN_3MAN,890,0,0,0,890,,0.0000,,,
simulation_stack_grade,SIM_STRONG_4MAN_LOTTO,21,0,0,0,21,,0.0000,,,
simulation_stack_grade,SIM_PLAYABLE_4MAN_LOTTO,334,0,0,0,334,,0.0000,,,
simulation_stack_grade,SIM_LEAN_4MAN_LOTTO,4056,0,0,0,4056,,0.0000,,,
simulation_stack_grade,SIM_THIN_2MAN,1238,0,0,0,1238,,0.0000,,,
simulation_stack_grade,SIM_THIN_3MAN,4861,0,0,0,4861,,0.0000,,,
simulation_stack_grade,SIM_THIN_4MAN,9619,0,0,0,9619,,0.0000,,,