rank,name,team,opponent,pitcher,odds,book,final_hr_score,decision_tier,confidence,agreement_count,signal_flags,master_score,matchup_score,split_score,per_pitch_score,primary_pitch_match,primary_pitch_usage_pct,note
1,James Wood,Washington Nationals,Cincinnati Reds,Nick Lodolo,362,DraftKings,89,SLIP LAB ELITE,HIGH,4,MASTER|MATCHUP|SPLITS|PITCH|CONTACT,88.4,74.1,83.2,83,Sinker,24.4,Multi-layer agreement
2,Shea Langeliers,Athletics,St. Louis Cardinals,Matthew Liberatore,240,BetMGM,80.7,STRONG PLAY,HIGH,3,MASTER|SPLITS|PITCH,84.4,69.4,76.8,81.4,4-Seam Fastball,32.4,Strong layered support
5,Nick Kurtz,Athletics,St. Louis Cardinals,Matthew Liberatore,333,BetMGM,79.8,STRONG PLAY,HIGH,3,MASTER|PITCH|CONTACT,82.8,69.9,74.8,80.7,4-Seam Fastball,32.4,Strong layered support
6,JJ Bleday,Cincinnati Reds,Washington Nationals,Jake Irvin,390,FanDuel,78.9,STRONG PLAY,MEDIUM,3,MASTER|SPLITS|PITCH|CONTACT,82.1,65.9,75.3,80.7,4-Seam Fastball,23.4,Multi-layer agreement
7,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,Griffin Jax,398,DraftKings,76.1,STRONG PLAY,MEDIUM,3,PITCH,79.8,67.9,73.8,78.7,4-Seam Fastball,30.4,Thin profile
8,Oneil Cruz,Pittsburgh Pirates,Colorado Rockies,Jose Quintana,400,BetMGM,76.1,STRONG PLAY,MEDIUM,3,PITCH|CONTACT,78.7,68.2,74.4,79.2,4-Seam Fastball,28.2,Playable with selectivity
9,Ian Happ,Chicago Cubs,Atlanta Braves,JR Ritchie,430,DraftKings,75.8,PLAYABLE,MEDIUM,3,SPLITS,79.3,68.2,78,75.1,Curveball,25.7,Thin profile
10,Corey Seager,Texas Rangers,Arizona Diamondbacks,Ryne Nelson,441,DraftKings,75.7,PLAYABLE,MEDIUM,3,PITCH,78.2,65.9,74.7,81,4-Seam Fastball,61,Thin profile
12,Sal Stewart,Cincinnati Reds,Washington Nationals,Jake Irvin,369,DraftKings,74.9,PLAYABLE,MEDIUM,3,MASTER,81.2,64.8,70.3,77.1,Sinker,28.4,Thin profile
13,Brent Rooker,Athletics,St. Louis Cardinals,Matthew Liberatore,310,BetMGM,74.8,PLAYABLE,MEDIUM,3,,78.2,65.9,71.9,77.8,4-Seam Fastball,32.4,Thin profile
14,Elly De La Cruz,Cincinnati Reds,Washington Nationals,Jake Irvin,310,BetMGM,74.7,PLAYABLE,MEDIUM,3,MASTER,80.8,64.5,70.9,76.5,Sinker,28.4,Thin profile
15,Kyle Schwarber,Philadelphia Phillies,Boston Red Sox,Sonny Gray,250,BetMGM,74.7,PLAYABLE,MEDIUM,3,PITCH|CONTACT,76.7,63.5,72.8,80,Cutter,30,Playable with selectivity
18,Kyle Stowers,Miami Marlins,Minnesota Twins,Simeon Woods Richardson,400,BetMGM,73.4,PLAYABLE,MEDIUM,3,,77.9,67.1,71.8,70.2,Splitter,28.5,Thin profile
19,Max Muncy,Los Angeles Dodgers,San Francisco Giants,Robbie Ray,320,FanDuel,72.5,PLAYABLE,MEDIUM,2,PITCH|CONTACT,76.6,63.3,68.4,83.9,4-Seam Fastball,52.4,Playable with selectivity
21,Munetaka Murakami,Chicago White Sox,Kansas City Royals,Seth Lugo,293,DraftKings,72.2,PLAYABLE,MEDIUM,2,PITCH|CONTACT,77,64.9,68.9,78.5,Curveball,14.9,Playable with selectivity