rank,player,team,game,odds,book,score,tier,trend,pitcher,pitcher_attack,park,park_label,weather,trusted_books,odds_quality
1,Xavier Edwards,Miami Marlins,Miami Marlins @ Minnesota Twins,+950,Caesars,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
2,Liam Hicks,Miami Marlins,Miami Marlins @ Minnesota Twins,+900,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
3,Jakob Marsee,Miami Marlins,Miami Marlins @ Minnesota Twins,+900,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
4,Joe Mack,Miami Marlins,Miami Marlins @ Minnesota Twins,+900,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
5,Owen Caissie,Miami Marlins,Miami Marlins @ Minnesota Twins,+850,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
6,Otto Lopez,Miami Marlins,Miami Marlins @ Minnesota Twins,+850,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
7,Connor Norby,Miami Marlins,Miami Marlins @ Minnesota Twins,+650,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
8,Heriberto Hernández,Miami Marlins,Miami Marlins @ Minnesota Twins,+598,DraftKings,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
9,Randy Arozarena,Seattle Mariners,Seattle Mariners @ Houston Astros,+591,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
10,Brendan Donovan,Seattle Mariners,Seattle Mariners @ Houston Astros,+589,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
11,Josh Naylor,Seattle Mariners,Seattle Mariners @ Houston Astros,+567,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
12,Dominic Canzone,Seattle Mariners,Seattle Mariners @ Houston Astros,+529,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
13,Christopher Morel,Miami Marlins,Miami Marlins @ Minnesota Twins,+520,FanDuel,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
14,Luke Raley,Seattle Mariners,Seattle Mariners @ Houston Astros,+474,DraftKings,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
15,Julio Rodríguez,Seattle Mariners,Seattle Mariners @ Houston Astros,+470,FanDuel,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
16,Kyle Stowers,Miami Marlins,Miami Marlins @ Minnesota Twins,+400,BetMGM,33.05,LONGSHOT,NO_MATCH,Simeon Woods Richardson,ATTACK,Target Field,NEUTRAL,,,
17,Cal Raleigh,Seattle Mariners,Seattle Mariners @ Houston Astros,+310,FanDuel,33.05,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
18,Keibert Ruiz,Washington Nationals,Washington Nationals @ Cincinnati Reds,+880,FanDuel,32.99,LONGSHOT,NO_MATCH,Nick Lodolo,ATTACK,Great American Ball Park,POWER_BOOST,,,
19,Daylen Lile,Washington Nationals,Washington Nationals @ Cincinnati Reds,+820,FanDuel,32.99,LONGSHOT,NO_MATCH,Nick Lodolo,ATTACK,Great American Ball Park,POWER_BOOST,,,
20,Brady House,Washington Nationals,Washington Nationals @ Cincinnati Reds,+680,FanDuel,32.99,LONGSHOT,NO_MATCH,Nick Lodolo,ATTACK,Great American Ball Park,POWER_BOOST,,,
21,Joey Wiemer,Washington Nationals,Washington Nationals @ Cincinnati Reds,+610,FanDuel,32.99,LONGSHOT,NO_MATCH,Nick Lodolo,ATTACK,Great American Ball Park,POWER_BOOST,,,
22,CJ Abrams,Washington Nationals,Washington Nationals @ Cincinnati Reds,+543,DraftKings,32.99,LONGSHOT,NO_MATCH,Nick Lodolo,ATTACK,Great American Ball Park,POWER_BOOST,,,
23,James Wood,Washington Nationals,Washington Nationals @ Cincinnati Reds,+362,DraftKings,32.99,LONGSHOT,NO_MATCH,Nick Lodolo,ATTACK,Great American Ball Park,POWER_BOOST,,,
24,Tyler Soderstrom,Athletics,St. Louis Cardinals @ Athletics,+475,BetMGM,32.12,LONGSHOT,NO_MATCH,Matthew Liberatore,LIVE,Sutter Health Park,NEUTRAL,,,
25,Zack Gelof,Athletics,St. Louis Cardinals @ Athletics,+450,BetMGM,32.12,LONGSHOT,NO_MATCH,Matthew Liberatore,LIVE,Sutter Health Park,NEUTRAL,,,
26,Colby Thomas,Athletics,St. Louis Cardinals @ Athletics,+430,FanDuel,32.12,LONGSHOT,NO_MATCH,Matthew Liberatore,LIVE,Sutter Health Park,NEUTRAL,,,
27,Nick Kurtz,Athletics,St. Louis Cardinals @ Athletics,+333,BetMGM,32.12,LONGSHOT,NO_MATCH,Matthew Liberatore,LIVE,Sutter Health Park,NEUTRAL,,,
28,Shea Langeliers,Athletics,St. Louis Cardinals @ Athletics,+240,BetMGM,32.12,LONGSHOT,NO_MATCH,Matthew Liberatore,LIVE,Sutter Health Park,NEUTRAL,,,
29,Brent Rooker,Athletics,St. Louis Cardinals @ Athletics,+310,BetMGM,32.12,LONGSHOT,NO_MATCH,Matthew Liberatore,LIVE,Sutter Health Park,NEUTRAL,,,
30,Cole Young,Seattle Mariners,Seattle Mariners @ Houston Astros,+1000,BetMGM,31.96,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
31,Connor Wong,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+920,FanDuel,31.49,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
32,Carlos Narváez,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+850,Caesars,31.49,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
33,Marcelo Mayer,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+820,FanDuel,31.49,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
34,Mickey Gasper,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+790,FanDuel,31.49,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
35,Trevor Story,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+760,FanDuel,31.49,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
36,Jarren Duran,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+690,DraftKings,31.49,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
37,Willson Contreras,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+490,FanDuel,31.49,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
38,Wilyer Abreu,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+490,FanDuel,31.49,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
39,Darell Hernaiz,Athletics,St. Louis Cardinals @ Athletics,+1000,BetMGM,31.03,LONGSHOT,NO_MATCH,Matthew Liberatore,LIVE,Sutter Health Park,NEUTRAL,,,
40,Ceddanne Rafaela,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+980,FanDuel,30.85,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
41,J.P. Crawford,Seattle Mariners,Seattle Mariners @ Houston Astros,+1060,DraftKings,30.71,LONGSHOT,NO_MATCH,Lance McCullers Jr.,ATTACK,Daikin Park,SLIGHT_BOOST,,,
42,Carson Kelly,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+680,DraftKings,30.53,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
43,Dansby Swanson,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+650,BetMGM,30.53,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
44,Moisés Ballesteros,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+610,FanDuel,30.53,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
45,Alex Bregman,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+576,DraftKings,30.53,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
46,Pete Crow-Armstrong,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+550,DraftKings,30.53,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
47,Michael Busch,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+450,DraftKings,30.53,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
48,Ian Happ,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+430,DraftKings,30.53,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
49,Seiya Suzuki,Chicago Cubs,Chicago Cubs @ Atlanta Braves,+425,BetMGM,30.53,LONGSHOT,NO_MATCH,JR Ritchie,ATTACK,Truist Park,SLIGHT_BOOST,,,
50,TJ Friedl,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+880,FanDuel,30.01,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
51,Matt McLain,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+760,FanDuel,30.01,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
52,Tyler Stephenson,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+540,FanDuel,30.01,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
53,Spencer Steer,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+470,FanDuel,30.01,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
54,JJ Bleday,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+390,FanDuel,30.01,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
55,Sal Stewart,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+369,DraftKings,30.01,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
56,Will Benson,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+323,DraftKings,30.01,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
57,Elly De La Cruz,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+310,BetMGM,30.01,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
58,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+930,DraftKings,29.80,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
59,Evan Carter,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+770,DraftKings,29.80,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
60,Danny Jansen,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+620,DraftKings,29.80,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
61,Joc Pederson,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+590,FanDuel,29.80,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
62,Brandon Nimmo,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+573,DraftKings,29.80,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
63,Josh Jung,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+550,DraftKings,29.80,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
64,Jake Burger,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+470,FanDuel,29.80,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
65,Corey Seager,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,+441,DraftKings,29.80,LONGSHOT,NO_MATCH,Ryne Nelson,LIVE,Globe Life Field,SLIGHT_BOOST,,,
66,James McCann,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,+950,DraftKings,29.70,LONGSHOT,NO_MATCH,Kumar Rocker,LIVE,Globe Life Field,SLIGHT_BOOST,,,
67,Lourdes Gurriel Jr.,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,+890,DraftKings,29.70,LONGSHOT,NO_MATCH,Kumar Rocker,LIVE,Globe Life Field,SLIGHT_BOOST,,,
68,Nolan Arenado,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,+840,DraftKings,29.70,LONGSHOT,NO_MATCH,Kumar Rocker,LIVE,Globe Life Field,SLIGHT_BOOST,,,
69,Adrian Del Castillo,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,+780,DraftKings,29.70,LONGSHOT,NO_MATCH,Kumar Rocker,LIVE,Globe Life Field,SLIGHT_BOOST,,,
70,Corbin Carroll,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,+451,DraftKings,29.70,LONGSHOT,NO_MATCH,Kumar Rocker,LIVE,Globe Life Field,SLIGHT_BOOST,,,
71,Ketel Marte,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,+426,DraftKings,29.70,LONGSHOT,NO_MATCH,Kumar Rocker,LIVE,Globe Life Field,SLIGHT_BOOST,,,
72,Masataka Yoshida,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,+1040,DraftKings,29.55,LONGSHOT,NO_MATCH,Andrew Painter,ATTACK,Fenway Park,NEUTRAL,,,
73,Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,+690,DraftKings,29.51,LONGSHOT,NO_MATCH,Griffin Jax,LIVE,Rogers Centre,BOOST,,,
74,Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,+544,DraftKings,29.51,LONGSHOT,NO_MATCH,Griffin Jax,LIVE,Rogers Centre,BOOST,,,
75,Daulton Varsho,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,+520,FanDuel,29.51,LONGSHOT,NO_MATCH,Griffin Jax,LIVE,Rogers Centre,BOOST,,,
76,George Springer,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,+503,DraftKings,29.51,LONGSHOT,NO_MATCH,Griffin Jax,LIVE,Rogers Centre,BOOST,,,
77,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,+398,DraftKings,29.51,LONGSHOT,NO_MATCH,Griffin Jax,LIVE,Rogers Centre,BOOST,,,
78,Nick Loftin,Kansas City Royals,Kansas City Royals @ Chicago White Sox,+940,DraftKings,29.10,LONGSHOT,NO_MATCH,Noah Schultz,LIVE,Rate Field,BOOST,,,
79,Isaac Collins,Kansas City Royals,Kansas City Royals @ Chicago White Sox,+850,BetMGM,29.10,LONGSHOT,NO_MATCH,Noah Schultz,LIVE,Rate Field,BOOST,,,
80,Carter Jensen,Kansas City Royals,Kansas City Royals @ Chicago White Sox,+800,BetMGM,29.10,LONGSHOT,NO_MATCH,Noah Schultz,LIVE,Rate Field,BOOST,,,
81,Maikel Garcia,Kansas City Royals,Kansas City Royals @ Chicago White Sox,+725,BetMGM,29.10,LONGSHOT,NO_MATCH,Noah Schultz,LIVE,Rate Field,BOOST,,,
82,Vinnie Pasquantino,Kansas City Royals,Kansas City Royals @ Chicago White Sox,+680,FanDuel,29.10,LONGSHOT,NO_MATCH,Noah Schultz,LIVE,Rate Field,BOOST,,,
83,Lane Thomas,Kansas City Royals,Kansas City Royals @ Chicago White Sox,+680,FanDuel,29.10,LONGSHOT,NO_MATCH,Noah Schultz,LIVE,Rate Field,BOOST,,,
84,Bobby Witt Jr.,Kansas City Royals,Kansas City Royals @ Chicago White Sox,+475,BetMGM,29.10,LONGSHOT,NO_MATCH,Noah Schultz,LIVE,Rate Field,BOOST,,,
85,Salvador Perez,Kansas City Royals,Kansas City Royals @ Chicago White Sox,+430,FanDuel,29.10,LONGSHOT,NO_MATCH,Noah Schultz,LIVE,Rate Field,BOOST,,,
86,Gabriel Moreno,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,+1000,BetMGM,28.61,LONGSHOT,NO_MATCH,Kumar Rocker,LIVE,Globe Life Field,SLIGHT_BOOST,,,
87,Ke'Bryan Hayes,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,+1020,DraftKings,28.50,LONGSHOT,NO_MATCH,Jake Irvin,NEUTRAL,Great American Ball Park,POWER_BOOST,,,
88,Cesar Prieto,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+920,FanDuel,28.49,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
89,Pedro Pagés,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+760,FanDuel,28.49,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
90,Ivan Herrera,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+670,DraftKings,28.49,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
91,Jordan Walker,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+650,BetMGM,28.49,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
92,Nolan Gorman,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+650,BetMGM,28.49,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
93,Alec Burleson,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+575,Caesars,28.49,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
94,Nasim Nuñez,Washington Nationals,Washington Nationals @ Cincinnati Reds,+1200,BetMGM,28.18,LONGSHOT,NO_MATCH,Nick Lodolo,ATTACK,Great American Ball Park,POWER_BOOST,,,
95,Nathan Church,St. Louis Cardinals,St. Louis Cardinals @ Athletics,+1000,BetMGM,27.40,LONGSHOT,NO_MATCH,J.T. Ginn,NEUTRAL,Sutter Health Park,NEUTRAL,,,
96,Jeff McNeil,Athletics,St. Louis Cardinals @ Athletics,+1200,FanDuel,27.32,LONGSHOT,NO_MATCH,Matthew Liberatore,LIVE,Sutter Health Park,NEUTRAL,,,
97,Cam Smith,Houston Astros,Seattle Mariners @ Houston Astros,+910,DraftKings,27.12,LONGSHOT,NO_MATCH,Bryce Miller,AVOID,Daikin Park,SLIGHT_BOOST,,,
98,César Salazar,Houston Astros,Seattle Mariners @ Houston Astros,+750,Caesars,27.12,LONGSHOT,NO_MATCH,Bryce Miller,AVOID,Daikin Park,SLIGHT_BOOST,,,
99,Isaac Paredes,Houston Astros,Seattle Mariners @ Houston Astros,+541,DraftKings,27.12,LONGSHOT,NO_MATCH,Bryce Miller,AVOID,Daikin Park,SLIGHT_BOOST,,,
100,Jose Altuve,Houston Astros,Seattle Mariners @ Houston Astros,+537,DraftKings,27.12,LONGSHOT,NO_MATCH,Bryce Miller,AVOID,Daikin Park,SLIGHT_BOOST,,,
101,Brice Matthews,Houston Astros,Seattle Mariners @ Houston Astros,+520,FanDuel,27.12,LONGSHOT,NO_MATCH,Bryce Miller,AVOID,Daikin Park,SLIGHT_BOOST,,,
102,Zach Cole,Houston Astros,Seattle Mariners @ Houston Astros,+420,FanDuel,27.12,LONGSHOT,NO_MATCH,Bryce Miller,AVOID,Daikin Park,SLIGHT_BOOST,,,
103,Christian Walker,Houston Astros,Seattle Mariners @ Houston Astros,+350,FanDuel,27.12,LONGSHOT,NO_MATCH,Bryce Miller,AVOID,Daikin Park,SLIGHT_BOOST,,,
104,Yordan Alvarez,Houston Astros,Seattle Mariners @ Houston Astros,+285,FanDuel,27.12,LONGSHOT,NO_MATCH,Bryce Miller,AVOID,Daikin Park,SLIGHT_BOOST,,,
105,Nick Yorke,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+920,FanDuel,27.08,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
106,Billy Cook,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+900,DraftKings,27.08,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
107,Bryan Reynolds,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+800,BetMGM,27.08,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
108,Ryan O'Hearn,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+770,DraftKings,27.08,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
109,Henry Davis,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+760,FanDuel,27.08,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
110,Marcell Ozuna,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+650,DraftKings,27.08,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
111,Brandon Lowe,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+543,DraftKings,27.08,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
112,Oneil Cruz,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,+400,BetMGM,27.08,LONGSHOT,NO_MATCH,Jose Quintana,LIVE,PNC Park,SUPPRESSOR,,,
