game,commence_time,home_team,away_team,venue,city,temp,humidity,wind_speed,wind_deg,wind_text,weather_boost,weather_label,roof_flag
Minnesota Twins @ Cleveland Guardians,2026-05-10T00:15:00Z,Cleveland Guardians,Minnesota Twins,Progressive Field,Cleveland,55.78,88,8.5,353,9 MPH Wind N,1,Mild humid,0
Pittsburgh Pirates @ San Francisco Giants,2026-05-10T01:06:00Z,San Francisco Giants,Pittsburgh Pirates,Oracle Park,San Francisco,55.24,84,10.29,244,10 MPH Wind WSW,1,Mild humid,0
Atlanta Braves @ Los Angeles Dodgers,2026-05-10T01:11:00Z,Los Angeles Dodgers,Atlanta Braves,Dodger Stadium,Los Angeles,61.83,67,2.04,216,2 MPH Light Wind SW,1,Mild humid,0
Washington Nationals @ Miami Marlins,2026-05-10T16:16:00Z,Miami Marlins,Washington Nationals,loanDepot park,Miami,79.23,69,8.79,168,Roof Stadium,0,Roof controlled,1
Athletics @ Baltimore Orioles,2026-05-10T17:36:00Z,Baltimore Orioles,Athletics,Oriole Park at Camden Yards,Baltimore,74.44,47,7.25,287,7 MPH Wind WNW,0,Mild,0
Tampa Bay Rays @ Boston Red Sox,2026-05-10T17:36:00Z,Boston Red Sox,Tampa Bay Rays,Fenway Park,Boston,65.52,54,6.85,234,7 MPH Wind SW,0,Mild,0
Colorado Rockies @ Philadelphia Phillies,2026-05-10T17:36:00Z,Philadelphia Phillies,Colorado Rockies,Citizens Bank Park,Philadelphia,73.26,46,7.25,260,7 MPH Wind W,0,Mild,0
Los Angeles Angels @ Toronto Blue Jays,2026-05-10T17:38:00Z,Toronto Blue Jays,Los Angeles Angels,Rogers Centre,Toronto,51.84,47,8.7,284,Roof Stadium,0,Roof controlled,1
Houston Astros @ Cincinnati Reds,2026-05-10T17:40:00Z,Cincinnati Reds,Houston Astros,Great American Ball Park,Cincinnati,57.16,64,3.78,21,4 MPH Light Wind NNE,0,Mild,0
Seattle Mariners @ Chicago White Sox,2026-05-10T18:11:00Z,Chicago White Sox,Seattle Mariners,Rate Field,Chicago,56.7,28,10.11,330,10 MPH Wind NNW,-1,Mild,0
New York Yankees @ Milwaukee Brewers,2026-05-10T18:11:00Z,Milwaukee Brewers,New York Yankees,American Family Field,Milwaukee,55.65,50,7.74,322,Roof Stadium,0,Roof controlled,1
Chicago Cubs @ Texas Rangers,2026-05-10T18:36:00Z,Texas Rangers,Chicago Cubs,Globe Life Field,Arlington,76.12,80,8.9,122,Roof Stadium,0,Roof controlled,1
St. Louis Cardinals @ San Diego Padres,2026-05-10T20:11:00Z,San Diego Padres,St. Louis Cardinals,Petco Park,San Diego,64.96,80,3.85,271,4 MPH Light Wind W,1,Mild humid,0